realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1949-01-01,2256.0845794522143
2025-01-25,2025-01-25,1949-04-01,2288.0797447343202
2025-01-25,2025-01-25,1949-07-01,2321.232738068765
2025-01-25,2025-01-25,1949-10-01,2352.503145106597
2025-01-25,2025-01-25,1950-01-01,2384.66243643569
2025-01-25,2025-01-25,1950-04-01,2415.880535553454
2025-01-25,2025-01-25,1950-07-01,2446.3877187181947
2025-01-25,2025-01-25,1950-10-01,2477.671444439419
2025-01-25,2025-01-25,1951-01-01,2509.0609511886732
2025-01-25,2025-01-25,1951-04-01,2540.4186636221148
2025-01-25,2025-01-25,1951-07-01,2573.573193946175
2025-01-25,2025-01-25,1951-10-01,2609.0085085583246
2025-01-25,2025-01-25,1952-01-01,2646.2990340311985
2025-01-25,2025-01-25,1952-04-01,2686.994429785641
2025-01-25,2025-01-25,1952-07-01,2726.124782328452
2025-01-25,2025-01-25,1952-10-01,2763.161132321586
2025-01-25,2025-01-25,1953-01-01,2795.842643882583
2025-01-25,2025-01-25,1953-04-01,2824.5491669373127
2025-01-25,2025-01-25,1953-07-01,2848.9003401564823
2025-01-25,2025-01-25,1953-10-01,2869.7430233376813
2025-01-25,2025-01-25,1954-01-01,2889.0972098170605
2025-01-25,2025-01-25,1954-04-01,2906.8303024884713
2025-01-25,2025-01-25,1954-07-01,2923.9749179838946
2025-01-25,2025-01-25,1954-10-01,2941.999752878005
2025-01-25,2025-01-25,1955-01-01,2959.7761996380686
2025-01-25,2025-01-25,1955-04-01,2979.062096651661
2025-01-25,2025-01-25,1955-07-01,2998.026311752977
2025-01-25,2025-01-25,1955-10-01,3017.709772089412
2025-01-25,2025-01-25,1956-01-01,3037.4598942797747
2025-01-25,2025-01-25,1956-04-01,3056.6863631279716
2025-01-25,2025-01-25,1956-07-01,3076.747558063285
2025-01-25,2025-01-25,1956-10-01,3098.079553748381
2025-01-25,2025-01-25,1957-01-01,3121.45876878156
2025-01-25,2025-01-25,1957-04-01,3146.9588594571783
2025-01-25,2025-01-25,1957-07-01,3173.926339071424
2025-01-25,2025-01-25,1957-10-01,3202.0484646123937
2025-01-25,2025-01-25,1958-01-01,3230.017116009108
2025-01-25,2025-01-25,1958-04-01,3258.4537581152504
2025-01-25,2025-01-25,1958-07-01,3287.085802823637
2025-01-25,2025-01-25,1958-10-01,3317.432391075252
2025-01-25,2025-01-25,1959-01-01,3348.864175658735
2025-01-25,2025-01-25,1959-04-01,3382.3844990501893
2025-01-25,2025-01-25,1959-07-01,3418.320069273353
2025-01-25,2025-01-25,1959-10-01,3454.772478769151
2025-01-25,2025-01-25,1960-01-01,3491.809423344375
2025-01-25,2025-01-25,1960-04-01,3527.8518161158336
2025-01-25,2025-01-25,1960-07-01,3563.319768486865
2025-01-25,2025-01-25,1960-10-01,3597.5104219553687
2025-01-25,2025-01-25,1961-01-01,3631.0973455617295
2025-01-25,2025-01-25,1961-04-01,3662.763437332922
2025-01-25,2025-01-25,1961-07-01,3695.5876947509905
2025-01-25,2025-01-25,1961-10-01,3729.378782068824
2025-01-25,2025-01-25,1962-01-01,3765.7978117745506
2025-01-25,2025-01-25,1962-04-01,3805.3125821851854
2025-01-25,2025-01-25,1962-07-01,3847.253305997749
2025-01-25,2025-01-25,1962-10-01,3890.376304042204
2025-01-25,2025-01-25,1963-01-01,3933.55516118128
2025-01-25,2025-01-25,1963-04-01,3976.3379327836988
2025-01-25,2025-01-25,1963-07-01,4018.9596952971574
2025-01-25,2025-01-25,1963-10-01,4062.06655803723
2025-01-25,2025-01-25,1964-01-01,4105.435953036787
2025-01-25,2025-01-25,1964-04-01,4150.330841843084
2025-01-25,2025-01-25,1964-07-01,4196.177090748073
2025-01-25,2025-01-25,1964-10-01,4242.341352210441
2025-01-25,2025-01-25,1965-01-01,4289.638061974458
2025-01-25,2025-01-25,1965-04-01,4335.758721867548
2025-01-25,2025-01-25,1965-07-01,4383.183671483537
2025-01-25,2025-01-25,1965-10-01,4430.655646635879
2025-01-25,2025-01-25,1966-01-01,4478.534802720446
2025-01-25,2025-01-25,1966-04-01,4526.5819491025895
2025-01-25,2025-01-25,1966-07-01,4575.410171895527
2025-01-25,2025-01-25,1966-10-01,4624.436665322361
2025-01-25,2025-01-25,1967-01-01,4675.219679762707
2025-01-25,2025-01-25,1967-04-01,4727.676231784834
2025-01-25,2025-01-25,1967-07-01,4781.42211583471
2025-01-25,2025-01-25,1967-10-01,4836.595272941184
2025-01-25,2025-01-25,1968-01-01,4891.940357443346
2025-01-25,2025-01-25,1968-04-01,4946.550003948992
2025-01-25,2025-01-25,1968-07-01,5001.696850677182
2025-01-25,2025-01-25,1968-10-01,5057.171937724266
2025-01-25,2025-01-25,1969-01-01,5110.844525651125
