,date,value
0,1947-01-01,15248.0
1,1947-04-01,15139.0
2,1947-07-01,15039.0
3,1947-10-01,15204.0
4,1948-01-01,15371.0
5,1948-04-01,15563.0
6,1948-07-01,15585.0
7,1948-10-01,15530.0
8,1949-01-01,15250.0
9,1949-04-01,15137.0
10,1949-07-01,15228.0
11,1949-10-01,15032.0
12,1950-01-01,15559.0
13,1950-04-01,15977.0
14,1950-07-01,16524.0
15,1950-10-01,16764.0
16,1951-01-01,16922.0
17,1951-04-01,17147.0
18,1951-07-01,17420.0
19,1951-10-01,17375.0
20,1952-01-01,17490.0
21,1952-04-01,17459.0
22,1952-07-01,17509.0
23,1952-10-01,18001.0
24,1953-01-01,18268.0
25,1953-04-01,18341.0
26,1953-07-01,18155.0
27,1953-10-01,17797.0
28,1954-01-01,17636.0
29,1954-04-01,17584.0
30,1954-07-01,17701.0
31,1954-10-01,17960.0
32,1955-01-01,18396.0
33,1955-04-01,18621.0
34,1955-07-01,18787.0
35,1955-10-01,18808.0
36,1956-01-01,18658.0
37,1956-04-01,18736.0
38,1956-07-01,18632.0
39,1956-10-01,18845.0
40,1957-01-01,18881.0
41,1957-04-01,18763.0
42,1957-07-01,18862.0
43,1957-10-01,18582.0
44,1958-01-01,18032.0
45,1958-04-01,18081.0
46,1958-07-01,18419.0
47,1958-10-01,18764.0
48,1959-01-01,19041.0
49,1959-04-01,19395.0
50,1959-07-01,19326.0
51,1959-10-01,19296.0
52,1960-01-01,19614.0
53,1960-04-01,19392.0
54,1960-07-01,19390.0
55,1960-10-01,19065.0
56,1961-01-01,19130.0
57,1961-04-01,19380.0
58,1961-07-01,19670.0
59,1961-10-01,19970.0
60,1962-01-01,20254.0
61,1962-04-01,20366.0
62,1962-07-01,20536.0
63,1962-10-01,20521.0
64,1963-01-01,20677.0
65,1963-04-01,20842.0
66,1963-07-01,21219.0
67,1963-10-01,21276.0
68,1964-01-01,21657.0
69,1964-04-01,21824.0
70,1964-07-01,22085.0
71,1964-10-01,22075.0
72,1965-01-01,22547.0
73,1965-04-01,22770.0
74,1965-07-01,23198.0
75,1965-10-01,23656.0
76,1966-01-01,24172.0
77,1966-04-01,24191.0
78,1966-07-01,24321.0
79,1966-10-01,24446.0
80,1967-01-01,24602.0
81,1967-04-01,24556.0
82,1967-07-01,24719.0
83,1967-10-01,24836.0
84,1968-01-01,25288.0
85,1968-04-01,25652.0
86,1968-07-01,25781.0
87,1968-10-01,25813.0
88,1969-01-01,26162.0
89,1969-04-01,26181.0
90,1969-07-01,26281.0
91,1969-10-01,26076.0
92,1970-01-01,25973.0
93,1970-04-01,25929.0
94,1970-07-01,26079.0
95,1970-10-01,25710.0
96,1971-01-01,26328.0
97,1971-04-01,26394.0
98,1971-07-01,26529.0
99,1971-10-01,26510.0
100,1972-01-01,26932.0
101,1972-04-01,27478.0
102,1972-07-01,27666.0
103,1972-10-01,28055.0
104,1973-01-01,28687.0
105,1973-04-01,28935.0
106,1973-07-01,28711.0
107,1973-10-01,28913.0
108,1974-01-01,28606.0
109,1974-04-01,28613.0
110,1974-07-01,28270.0
111,1974-10-01,28088.0
112,1975-01-01,27690.0
113,1975-04-01,27821.0
114,1975-07-01,28214.0
115,1975-10-01,28520.0
116,1976-01-01,29099.0
117,1976-04-01,29250.0
118,1976-07-01,29335.0
119,1976-10-01,29469.0
120,1977-01-01,29749.0
121,1977-04-01,30254.0
122,1977-07-01,30713.0
123,1977-10-01,30626.0
124,1978-01-01,30653.0
125,1978-04-01,31757.0
126,1978-07-01,31982.0
127,1978-10-01,32318.0
128,1979-01-01,32294.0
129,1979-04-01,32244.0
130,1979-07-01,32386.0
131,1979-10-01,32366.0
132,1980-01-01,32377.0
133,1980-04-01,31621.0
134,1980-07-01,31489.0
135,1980-10-01,31990.0
136,1981-01-01,32550.0
137,1981-04-01,32236.0
138,1981-07-01,32533.0
139,1981-10-01,32095.0
140,1982-01-01,31529.0
141,1982-04-01,31603.0
142,1982-07-01,31402.0
143,1982-10-01,31337.0
144,1983-01-01,31686.0
145,1983-04-01,32340.0
146,1983-07-01,32906.0
147,1983-10-01,33513.0
148,1984-01-01,34103.0
149,1984-04-01,34622.0
150,1984-07-01,34871.0
151,1984-10-01,35072.0
152,1985-01-01,35346.0
153,1985-04-01,35582.0
154,1985-07-01,36033.0
155,1985-10-01,36210.0
156,1986-01-01,36476.0
157,1986-04-01,36563.0
158,1986-07-01,36822.0
159,1986-10-01,36931.0
160,1987-01-01,37132.0
161,1987-04-01,37454.0
162,1987-07-01,37685.0
163,1987-10-01,38238.0
164,1988-01-01,38359.0
165,1988-04-01,38782.0
166,1988-07-01,38908.0
167,1988-10-01,39328.0
168,1989-01-01,39648.0
169,1989-04-01,39861.0
170,1989-07-01,40046.0
171,1989-10-01,40015.0
172,1990-01-01,40361.0
173,1990-04-01,40382.0
174,1990-07-01,40266.0
175,1990-10-01,39759.0
176,1991-01-01,39451.0
177,1991-04-01,39632.0
178,1991-07-01,39691.0
179,1991-10-01,39694.0
180,1992-01-01,40051.0
181,1992-04-01,40350.0
182,1992-07-01,40599.0
183,1992-10-01,40881.0
184,1993-01-01,40829.0
185,1993-04-01,40942.0
186,1993-07-01,40997.0
187,1993-10-01,41423.0
188,1994-01-01,41713.0
189,1994-04-01,42154.0
190,1994-07-01,42264.0
191,1994-10-01,42618.0
192,1995-01-01,42654.0
193,1995-04-01,42660.0
194,1995-07-01,42885.0
195,1995-10-01,43044.0
196,1996-01-01,43259.0
197,1996-04-01,43856.0
198,1996-07-01,44105.0
199,1996-10-01,44421.0
200,1997-01-01,44590.0
201,1997-04-01,45203.0
202,1997-07-01,45616.0
203,1997-10-01,45862.0
204,1998-01-01,46204.0
205,1998-04-01,46504.0
206,1998-07-01,46943.0
207,1998-10-01,47555.0
208,1999-01-01,47880.0
209,1999-04-01,48148.0
210,1999-07-01,48632.0
211,1999-10-01,49281.0
