date,Cleaned/ConsumerPriceIndexAllItems,Cleaned/FEDRates,Cleaned/GDP,Cleaned/InflationConsumerPrice,Cleaned/MedianConsumerPriceIndex,Cleaned/RealGDP,Cleaned/RealGDPPerCapita,Cleaned/RealPotentialGDP,Cleaned/UnemployemenrRate
1946-01-01,,,.,,,,,,
1946-04-01,,,.,,,,,,
1946-07-01,,,.,,,,,,
1946-10-01,,,.,,,,,,
1947-01-01,,,243.164,,,2182.681,15248.0,,
1947-04-01,,,245.968,,,2176.892,15139.0,,
1947-07-01,,,249.585,,,2172.432,15039.0,,
1947-10-01,,,259.745,,,2206.452,15204.0,,
1948-01-01,,,265.742,,,2239.682,15371.0,,3.4
1948-02-01,,,,,,,,,3.8
1948-03-01,,,,,,,,,4.0
1948-04-01,,,272.567,,,2276.69,15563.0,,3.9
1948-05-01,,,,,,,,,3.5
1948-06-01,,,,,,,,,3.6
1948-07-01,,,279.196,,,2289.77,15585.0,,3.6
1948-08-01,,,,,,,,,3.9
1948-09-01,,,,,,,,,3.8
1948-10-01,,,280.366,,,2292.364,15530.0,,3.7
1948-11-01,,,,,,,,,3.8
1948-12-01,,,,,,,,,4.0
1949-01-01,,,275.034,,,2260.807,15250.0,2256.0845794522143,4.3
1949-02-01,,,,,,,,,4.7
1949-03-01,,,,,,,,,5.0
1949-04-01,,,271.351,,,2253.128,15137.0,2288.07974473432,5.3
1949-05-01,,,,,,,,,6.1
1949-06-01,,,,,,,,,6.2
1949-07-01,,,272.889,,,2276.424,15228.0,2321.232738068765,6.7
1949-08-01,,,,,,,,,6.8
1949-09-01,,,,,,,,,6.6
1949-10-01,,,270.627,,,2257.352,15032.0,2352.503145106597,7.9
1949-11-01,,,,,,,,,6.4
1949-12-01,,,,,,,,,6.6
1950-01-01,,,280.828,,,2346.104,15559.0,2384.66243643569,6.5
1950-02-01,,,,,,,,,6.4
1950-03-01,,,,,,,,,6.3
1950-04-01,,,290.383,,,2417.682,15977.0,2415.880535553454,5.8
1950-05-01,,,,,,,,,5.5
1950-06-01,,,,,,,,,5.4
1950-07-01,,,308.153,,,2511.127,16524.0,2446.3877187181947,5.0
1950-08-01,,,,,,,,,4.5
1950-09-01,,,,,,,,,4.4
1950-10-01,,,319.945,,,2559.214,16764.0,2477.671444439419,4.2
1950-11-01,,,,,,,,,4.2
1950-12-01,,,,,,,,,4.3
1951-01-01,,,336.0,,,2593.967,16922.0,2509.060951188673,3.7
1951-02-01,,,,,,,,,3.4
1951-03-01,,,,,,,,,3.4
1951-04-01,,,344.09,,,2638.898,17147.0,2540.4186636221148,3.1
1951-05-01,,,,,,,,,3.0
1951-06-01,,,,,,,,,3.2
1951-07-01,,,351.385,,,2693.259,17420.0,2573.573193946175,3.1
1951-08-01,,,,,,,,,3.1
1951-09-01,,,,,,,,,3.3
1951-10-01,,,356.178,,,2699.156,17375.0,2609.0085085583246,3.5
1951-11-01,,,,,,,,,3.5
1951-12-01,,,,,,,,,3.1
1952-01-01,,,359.82,,,2727.954,17490.0,2646.2990340311985,3.2
1952-02-01,,,,,,,,,3.1
1952-03-01,,,,,,,,,2.9
1952-04-01,,,361.03,,,2733.8,17459.0,2686.994429785641,2.9
1952-05-01,,,,,,,,,3.0
1952-06-01,,,,,,,,,3.0
1952-07-01,,,367.701,,,2753.517,17509.0,2726.124782328452,3.2
1952-08-01,,,,,,,,,3.4
1952-09-01,,,,,,,,,3.1
1952-10-01,,,380.812,,,2843.941,18001.0,2763.161132321586,3.0
1952-11-01,,,,,,,,,2.8
1952-12-01,,,,,,,,,2.7
1953-01-01,,,387.98,,,2896.811,18268.0,2795.842643882583,2.9
1953-02-01,,,,,,,,,2.6
1953-03-01,,,,,,,,,2.6
1953-04-01,,,391.749,,,2919.206,18341.0,2824.5491669373127,2.7
1953-05-01,,,,,,,,,2.5
1953-06-01,,,,,,,,,2.5
1953-07-01,,,391.171,,,2902.785,18155.0,2848.9003401564823,2.6
1953-08-01,,,,,,,,,2.7
1953-09-01,,,,,,,,,2.9
1953-10-01,,,385.97,,,2858.845,17797.0,2869.7430233376813,3.1
1953-11-01,,,,,,,,,3.5
1953-12-01,,,,,,,,,4.5
1954-01-01,,,385.345,,,2845.192,17636.0,2889.0972098170605,4.9
1954-02-01,,,,,,,,,5.2
1954-03-01,,,,,,,,,5.7
1954-04-01,,,386.121,,,2848.305,17584.0,2906.830302488472,5.9
1954-05-01,,,,,,,,,5.9
1954-06-01,,,,,,,,,5.6
1954-07-01,,0.8,390.996,,,2880.482,17701.0,2923.9749179838946,5.8
1954-08-01,,1.22,,,,,,,6.0
1954-09-01,,1.07,,,,,,,6.1
1954-10-01,,0.85,399.734,,,2936.852,17960.0,2941.999752878005,5.7
1954-11-01,,0.83,,,,,,,5.3
1954-12-01,,1.28,,,,,,,5.0
1955-01-01,,1.39,413.073,,,3020.746,18396.0,2959.7761996380686,4.9
1955-02-01,0.0,1.29,,,,,,,4.7
1955-03-01,0.0,1.35,,,,,,,4.6
1955-04-01,0.0,1.43,421.532,,,3069.91,18621.0,2979.062096651661,4.7
1955-05-01,0.0,1.43,,,,,,,4.3
1955-06-01,0.0,1.64,,,,,,,4.2
1955-07-01,0.3745318352059939,1.68,430.221,,,3111.379,18787.0,2998.026311752977,4.0
1955-08-01,0.0,1.96,,,,,,,4.2
1955-09-01,0.37313432835821,2.18,,,,,,,4.1
1955-10-01,0.0,2.24,437.092,,,3130.068,18808.0,3017.709772089412,4.3
1955-11-01,0.0,2.35,,,,,,,4.2
1955-12-01,-0.3717472118959121,2.48,,,,,,,4.2
1956-01-01,0.0,2.45,439.746,,,3117.922,18658.0,3037.4598942797747,4.0
1956-02-01,0.0,2.5,,,,,,,3.9
1956-03-01,0.0,2.5,,,,,,,4.2
1956-04-01,0.37313432835821,2.62,446.01,,,3143.694,18736.0,3056.686363127972,4.0
1956-05-01,0.3717472118959121,2.75,,,,,,,4.3
1956-06-01,0.740740740740744,2.71,,,,,,,4.3
1956-07-01,0.73529411764705,2.75,451.191,,,3140.874,18632.0,3076.747558063285,4.4
1956-08-01,-0.364963503649637,2.73,,,,,,,4.1
1956-09-01,0.366300366300368,2.95,,,,,,,3.9
1956-10-01,0.364963503649637,2.96,460.463,,,3192.57,18845.0,3098.079553748381,3.9
1956-11-01,0.0,2.88,,,,,,,4.3
1956-12-01,0.363636363636365,2.94,,,,,,,4.2
1957-01-01,0.0,2.84,469.779,,,3213.011,18881.0,3121.45876878156,4.2
1957-02-01,0.362318840579712,3.0,,,,,,,3.9
1957-03-01,0.361010830324911,2.96,,,,,,,3.7
1957-04-01,0.359712230215829,3.0,472.025,,,3205.97,18763.0,3146.9588594571783,3.9
1957-05-01,0.358422939068102,3.0,,,,,,,4.1
1957-06-01,0.357142857142859,3.0,,,,,,,4.3
1957-07-01,0.711743772241972,2.99,479.49,,,3237.386,18862.0,3173.926339071424,4.2
1957-08-01,0.0,3.24,,,,,,,4.1
1957-09-01,0.0,3.47,,,,,,,4.4
1957-10-01,0.0,3.5,474.864,,,3203.894,18582.0,3202.0484646123937,4.5
1957-11-01,0.353356890459365,3.28,,,,,,,5.1
1957-12-01,0.0,2.98,,,,,,,5.2
1958-01-01,0.704225352112668,2.72,467.54,,,3120.724,18032.0,3230.017116009108,5.8
1958-02-01,0.0,1.67,,,,,,,6.4
1958-03-01,0.699300699300702,1.2,,,,,,,6.7
1958-04-01,0.347222222222224,1.26,471.978,,,3141.224,18081.0,3258.4537581152504,7.4
1958-05-01,0.0,0.63,,,,,,,7.4
1958-06-01,0.0,0.93,,,,,,,7.3
1958-07-01,0.346020761245676,0.68,485.841,,,3213.884,18419.0,3287.085802823637,7.5
1958-08-01,-0.344827586206898,1.53,,,,,,,7.4
1958-09-01,0.0,1.76,,,,,,,7.1
1958-10-01,0.0,1.8,499.555,,,3289.032,18764.0,3317.432391075252,6.7
1958-11-01,0.346020761245676,2.27,,,,,,,6.2
1958-12-01,-0.344827586206898,2.42,,,,,,,6.2
1959-01-01,0.346020761245676,2.48,510.33,,,3352.129,19041.0,3348.864175658735,6.0
1959-02-01,-0.344827586206898,2.43,,,,,,,5.9
1959-03-01,0.0,2.8,,,,,,,5.6
1959-04-01,0.346020761245676,2.96,522.653,,,3427.667,19395.0,3382.3844990501893,5.2
1959-05-01,0.0,2.9,,,,,,,5.1
1959-06-01,0.344827586206898,3.39,,,,,,,5.0
1959-07-01,0.3436426116838499,3.47,525.034,,,3430.057,19326.0,3418.320069273353,5.1
