,date,RealGDP
0,1947-01-01,2182.681
1,1947-04-01,2176.892
2,1947-07-01,2172.432
3,1947-10-01,2206.452
4,1948-01-01,2239.682
5,1948-04-01,2276.69
6,1948-07-01,2289.77
7,1948-10-01,2292.364
8,1949-01-01,2260.807
9,1949-04-01,2253.128
10,1949-07-01,2276.424
11,1949-10-01,2257.352
12,1950-01-01,2346.104
13,1950-04-01,2417.682
14,1950-07-01,2511.127
15,1950-10-01,2559.214
16,1951-01-01,2593.967
17,1951-04-01,2638.898
18,1951-07-01,2693.259
19,1951-10-01,2699.156
20,1952-01-01,2727.954
21,1952-04-01,2733.8
22,1952-07-01,2753.517
23,1952-10-01,2843.941
24,1953-01-01,2896.811
25,1953-04-01,2919.206
26,1953-07-01,2902.785
27,1953-10-01,2858.845
28,1954-01-01,2845.192
29,1954-04-01,2848.305
30,1954-07-01,2880.482
31,1954-10-01,2936.852
32,1955-01-01,3020.746
33,1955-04-01,3069.91
34,1955-07-01,3111.379
35,1955-10-01,3130.068
36,1956-01-01,3117.922
37,1956-04-01,3143.694
38,1956-07-01,3140.874
39,1956-10-01,3192.57
40,1957-01-01,3213.011
41,1957-04-01,3205.97
42,1957-07-01,3237.386
43,1957-10-01,3203.894
44,1958-01-01,3120.724
45,1958-04-01,3141.224
46,1958-07-01,3213.884
47,1958-10-01,3289.032
48,1959-01-01,3352.129
49,1959-04-01,3427.667
50,1959-07-01,3430.057
51,1959-10-01,3439.832
52,1960-01-01,3517.181
53,1960-04-01,3498.246
54,1960-07-01,3515.385
55,1960-10-01,3470.278
56,1961-01-01,3493.703
57,1961-04-01,3553.021
58,1961-07-01,3621.252
59,1961-10-01,3692.289
60,1962-01-01,3758.147
61,1962-04-01,3792.149
62,1962-07-01,3838.776
63,1962-10-01,3851.421
64,1963-01-01,3893.482
65,1963-04-01,3937.183
66,1963-07-01,4023.755
67,1963-10-01,4050.147
68,1964-01-01,4135.553
69,1964-04-01,4180.592
70,1964-07-01,4245.918
71,1964-10-01,4259.046
72,1965-01-01,4362.111
73,1965-04-01,4417.225
74,1965-07-01,4515.427
75,1965-10-01,4619.458
76,1966-01-01,4731.888
77,1966-04-01,4748.046
78,1966-07-01,4788.254
79,1966-10-01,4827.537
80,1967-01-01,4870.299
81,1967-04-01,4873.287
82,1967-07-01,4919.392
83,1967-10-01,4956.477
84,1968-01-01,5057.553
85,1968-04-01,5142.033
86,1968-07-01,5181.859
87,1968-10-01,5202.212
88,1969-01-01,5283.597
89,1969-04-01,5299.625
90,1969-07-01,5334.6
91,1969-10-01,5308.556
92,1970-01-01,5300.652
93,1970-04-01,5308.164
94,1970-07-01,5357.077
95,1970-10-01,5299.672
96,1971-01-01,5443.619
97,1971-04-01,5473.059
98,1971-07-01,5518.072
99,1971-10-01,5531.032
