PC1,PC2,PC3,FEDRates
-2.486793552395918,-1.5587652201516717,-0.32303797552640645,0.8
-2.488619379572193,-1.5653332916378524,-0.21199976123516204,1.22
-2.4895322931603308,-1.5686173273809427,-0.15648065408954007,1.07
-2.4715662623876034,-1.5510000211610138,-0.37903755524243254,0.85
-2.467914608035053,-1.5378638781886524,-0.6011139838249213,0.83
-2.46517586727064,-1.5280117709593815,-0.7676713052617877,1.28
-2.4420726028632465,-1.5177264450191088,-0.8239399691138638,1.39
-2.4402467756869712,-1.5111583735329281,-0.9349781834051082,1.29
-2.4393338620988336,-1.5078743377898378,-0.9904972905507307,1.35
-2.427465570965004,-1.5071688490943946,-0.9354038661909517,1.43
-2.4238139166124535,-1.4940327061220333,-1.1574802947734406,1.43
-2.422901003024316,-1.4907486703789432,-1.2129994019190626,1.64
-2.5189850517183996,-0.787825554250442,-1.2626471802525259,1.68
-2.41255874731003,-1.4875425578146817,-1.2133651777779337,1.96
-2.519494039442415,-0.7936959666057646,-1.2073585067330854,2.18
-2.409446185701369,-1.4896447707831353,-1.1580141835955526,2.24
-2.4085332721132313,-1.4863607350400452,-1.2135332907411747,2.35
-2.3010859890905544,-2.174356143459531,-1.274830348566625,2.48
-2.4106211514148415,-1.4811423889095927,-1.3244616955498931,2.45
-2.409708237826704,-1.4778583531665024,-1.3799808026955154,2.5
-2.4124469785911167,-1.4877104603957734,-1.2134234812586489,2.5
-2.512196641389087,-0.7886722784879704,-1.263156103115995,2.62
-2.5145344594556542,-0.8010915327635822,-1.096827502044149,2.75
-2.6211858366781637,-0.118192386628684,-1.0359844964988871,2.71
-2.62211590094368,-0.1321699556661091,-0.9813506408473127,2.75
-2.301366188609631,-2.158573043654323,-1.3293284353297157,2.73
-2.510899891470063,-0.7986493348714314,-1.3197892188088123,2.95
-2.4977019465577057,-0.7971411401084676,-1.3204509380501512,2.96
-2.3958670347310584,-1.485718030762734,-1.1585530078437436,2.88
-2.5000570998087395,-0.8094493955111285,-1.1541124475164706,2.94
-2.3898995315357032,-1.4809367652190966,-1.2142822576163395,2.84
-2.4918829615433924,-0.8005384084795284,-1.3210971567523142,3.0
-2.4896790759888785,-0.7963910815764186,-1.432351047658363,2.96
-2.493233525103252,-0.8061529794291444,-1.3214452570383808,3.0
-2.494686704344545,-0.8151071519037582,-1.2106196327854937,3.0
-2.4961425453568022,-0.8240442807998827,-1.0997924900323321,3.0
-2.589690219572972,-0.16206047934764106,-1.0971062614812397,2.99
-2.3830597320837725,-1.4760060867706406,-1.2699841483780763,3.24
-2.3857984728481854,-1.4858581939999114,-1.1034268269412095,3.47
-2.3960914676382594,-1.4922646657348757,-1.0475378641256075,3.5
-2.503700818895354,-0.8580085803176521,-0.6561585267110756,3.28
-2.4024818627552227,-1.515252915936508,-0.6589041141062523,2.98
-2.633286236038025,-0.2387194128970596,-0.20890664377037788,2.72
-2.435219216629529,-1.5617388728826362,0.008088924772046181,1.67
-2.640079070212824,-0.2773898272109159,0.2899532990414031,1.2
-2.539137682732863,-0.9503201591150671,0.6203831950912874,1.26
-2.438778935742932,-1.5929269815624352,0.5631300403862659,0.63
-2.4378660221547945,-1.5896429458193448,0.5076109332406434,0.93
-2.5205551221855607,-0.9498486609559509,0.6750558355754765,0.68
-2.319964106007458,-2.2251229458994537,0.5056233761643527,1.53
-2.4168919829433904,-1.5770957874121079,0.3959243600897139,1.76
-2.3935577617202335,-1.5578182040004487,0.17318783787510011,1.8
-2.4890046786691653,-0.9010147558564792,-0.04735265094973682,2.27
-2.2893265760792003,-2.1795730765430723,-0.16126600321523882,2.42
-2.4706285510546104,-0.8893070953623059,-0.15892465086919486,2.48
-2.270037534876508,-2.1645813803058087,-0.3283571102803188,2.43
-2.36696541181244,-1.5165542218184627,-0.43805612635495755,2.8
-2.443168920512338,-0.856749742430037,-0.6037228411159884,2.96
-2.3422445220345804,-1.4938489761154645,-0.7162969951648847,2.9
-2.440998226146788,-0.852389889114299,-0.7149577969482785,3.39
-2.440605671571793,-0.8577161706076291,-0.6596113165020929,3.47
-2.3421944644276276,-1.4969822161955362,-0.6607551253531926,3.5
-2.443917174825945,-0.87303033416165,-0.43772893900178467,3.76
-2.4425499941147577,-0.8810100960107428,-0.3269280918720219,3.98
-2.344816767316888,-1.515934967470016,-0.3276851231395267,4.0
-2.3402521993762,-1.4995147887545643,-0.6052806588676374,3.99
-2.221475390780663,-2.1196603373527103,-0.7175416486667857,3.99
-2.4147804861103785,-0.8453909611647038,-0.8272572158598003,3.97
-2.321611827253197,-1.4967360113394286,-0.5504187113991938,3.84
-2.4237565346005696,-0.8626484303974077,-0.6051294965375069,3.92
-2.324533011716173,-1.4888567921537788,-0.7167333266594768,3.85
-2.4252491054741423,-0.8713503744175052,-0.49428139995126885,3.32
-2.3239091625299384,-1.5007897749349515,-0.4947627913157178,3.23
-2.324822076118076,-1.5040738106780418,-0.43924368417009585,2.98
-2.3239091625299384,-1.5007897749349515,-0.4947627913157178,2.6
-2.5359340822150442,-0.273750763933136,-0.04977451104633544,2.47
-2.340641385369773,-1.524228904911796,-0.16118605533718774,2.44
-2.3452059533104612,-1.5406490836272475,0.11640948039092304,1.98
-2.3169971975737003,-1.631208355284092,0.09041614312821801,1.45
-2.319735938338113,-1.641060462513363,0.2569734645650849,2.54
-2.319735938338113,-1.641060462513363,0.2569734645650849,2.02
-2.3052257650649,-1.6395675128424658,0.311992268958064,1.49
-2.3061386786530376,-1.6428515485855562,0.36751137610368595,1.98
-2.3043128514767623,-1.6362834770993755,0.25647316181244206,1.73
-2.481669405092167,-0.3920381440322367,0.42207593064556814,1.17
-2.1876913460245837,-2.237890220843186,0.03437265774057992,2.0
-2.381615275897303,-1.0053059382580682,0.20000164475769228,1.88
-2.264933293947897,-1.6120580395020585,0.03320887171265465,2.26
-2.261281639595347,-1.5989218965296974,-0.18886755686983417,2.61
-2.260368726007209,-1.595637860786607,-0.24438666401545614,2.33
-2.248130391651505,-1.5530376518132591,-0.34746483492131003,2.15
-2.341736047997426,-0.9262829950345152,-0.4590591278413558,2.37
-2.24630456447523,-1.5464695803270785,-0.4585030492125544,2.85
-2.332788735768045,-0.9287411331548252,-0.40397924377589706,2.78
-2.2358515061230966,-1.540310136829814,-0.5142787780146956,2.36
-2.2358515061230966,-1.540310136829814,-0.5142787780146956,2.68
-2.318003200243595,-0.920357907313889,-0.5155690448403089,2.71
-2.2250355862626434,-1.5430271167446228,-0.4036107583539265,2.93
-2.319513164862955,-0.9289484774872041,-0.4047110253838852,2.9
-2.2182560579102084,-1.5320684967225895,-0.5702228496476998,2.9
-2.2209947986746212,-1.5419206039518605,-0.4036655282108334,2.94
-2.219168971498346,-1.5353525324656798,-0.5147037425020777,2.93
-2.2112739889680117,-1.5285036592687575,-0.40128815095207687,2.92
-2.213099816144287,-1.5350717307549382,-0.2902499366608325,3.0
-2.306350696642683,-0.9197182485291462,-0.3470483201788987,2.98
-2.1989834993860358,-1.5247633059632266,-0.4016336606210985,2.9
-2.200809326562311,-1.5313313774494073,-0.2905954463298541,3.0
-2.2928355665621605,-0.9146898772206545,-0.4030907725042745,2.99
-2.2699571652661614,-0.909664708280523,-0.40399786923169584,3.02
-2.1736760468052454,-1.5079030579212755,-0.5689214055982539,3.49
-2.174588960393383,-1.5111870936643659,-0.5134022984526319,3.48
-2.261032963277855,-0.9060813138144349,-0.45992395023508464,3.5
-2.1687111711280713,-1.515485752938537,-0.40259553579741075,3.48
-2.260727289189134,-0.908038574748325,-0.46009833270214173,3.38
-2.1472473572569273,-1.4957629527595184,-0.456238483980439,3.48
-2.145421530080652,-1.4891948812733378,-0.5672766982716828,3.48
-2.145421530080652,-1.4891948812733378,-0.5672766982716828,3.43
-2.1318439169679864,-1.482060947269524,-0.623156381408724,3.47
-2.130018089791711,-1.4754928757833434,-0.7341945956999684,3.5
-2.224469253001532,-0.8798423974007323,-0.6253133249457824,3.5
-2.2039368012008294,-0.8665446688726527,-0.7925990424400382,3.42
-2.0186764839866105,-2.061914017146257,-0.8432889614606196,3.5
-2.2057626283771046,-0.8731127403588334,-0.6815608281487943,3.45
-2.107939339711451,-1.4688459281429207,-0.7348326412775232,3.36
-2.198137316416807,-0.863910975689117,-0.8483709641451128,3.52
-2.1070264261233134,-1.4655618923998304,-0.7903517484231453,3.85
-2.0956193596912054,-1.3805176110455413,-0.8263693567630376,3.9
-2.0974451868674806,-1.387085682531722,-0.7153311424717936,3.98
-2.186432375890251,-0.7807740111464062,-0.8845585051727237,4.05
-2.171563927612672,-0.7812098847228484,-0.8296856429291237,4.09
-2.077395227806684,-1.3659222121658745,-0.9934040762460747,4.1
-2.261492801902863,-0.18712753149809333,-0.8883791809910038,4.05
-2.0498857324538458,-1.3513766715687523,-1.1053027618886226,4.09
-2.0498857324538458,-1.3513766715687523,-1.1053027618886226,4.12
-2.048972818865708,-1.348092635825662,-1.1608218690342451,4.02
-2.1122576258579286,-0.7506619357082055,-1.1651054558663514,4.08
-2.0198785124814993,-1.3330448773855006,-1.272804653376044,4.1
-2.110143261773804,-0.7459413941192495,-1.2763082761208893,4.32
-2.0685072445058608,-0.9786959138253021,-1.234003260030213,4.42
-2.2484632986698383,0.19183923228252583,-1.24133764693123,4.6
-2.1570042896205233,-0.3937817021364914,-1.2935136350869383,4.66
-2.2406671969195124,0.18270690785541424,-1.2424636422515496,4.67
-2.0614971252546903,-0.9736660055502414,-1.289679167847648,4.9
-2.150068171830949,-0.3974074655816338,-1.2941490225008672,5.17
-2.138008383655091,-0.3956294535246265,-1.2946963855890774,5.3
-2.2266671878335464,0.17206149663058654,-1.2441178721676156,5.53
-2.047887694964793,-0.9635514821791955,-1.4011071858058293,5.4
-2.213152164090975,0.17184041940186826,-1.3006280755572812,5.53
-2.035460540208647,-0.9568068284320552,-1.4569967763117484,5.76
-2.037286367384922,-0.9633748999182358,-1.3459585620205043,5.4
-2.012031333226522,-1.0207238970300507,-1.3069597240198267,4.94
-2.0111184196383842,-1.0174398612869604,-1.362478831165449,5.0
-2.098970453477594,-0.4549147401172291,-1.3123605680802024,4.53
-2.0955633148068955,-0.4558264085251479,-1.3125167162344422,4.05
-2.0952987050922225,-0.45752073027621254,-1.3126676720941457,3.94
-2.0959486030001244,-0.4624888810127575,-1.2572986114355715,3.98
-2.0810362746275226,-0.45672688938126027,-1.3134149767159569,3.79
-2.080776404106105,-0.4583908656167609,-1.3135632289372354,3.9
-2.0805180850504867,-0.4600449076657823,-1.313710596070626,3.99
-2.0703688884880402,-0.4647536562114924,-1.203200909553952,3.88
-2.069200717383184,-0.46310405918594494,-1.2588656372711005,4.13
-2.068034056677835,-0.4614447909253827,-1.3145295033280622,4.51
-2.207560085422272,0.4530518418336399,-1.2225845679319411,4.61
-2.1227124088439426,-0.09936559773336484,-1.2159905867336096,4.71
-2.1215516576339755,-0.09766849039884981,-1.2716510815123971,5.05
-2.0959528466429798,-0.08541517078314337,-1.3836612094079788,5.76
-2.0957078866530447,-0.08698367343468391,-1.383800955395458,6.12
-2.1810679105149733,0.44132584480479053,-1.2251077391293161,6.07
-2.1677848004175777,0.43883569756879537,-1.2260628317000875,6.03
-2.082186770936503,-0.09099779380935705,-1.3848918265898404,6.03
-2.081037235824558,-0.08922886870781352,-1.440545922753515,5.78
-2.1552841972284744,0.4388053671065231,-1.393978621409138,5.91
-2.072472011145405,-0.09144911847509202,-1.4412217272019063,5.82
-2.0722407142780925,-0.09293013482298007,-1.4413536785835668,6.02
-2.1153289156249033,0.19718848860208563,-1.3629100668724234,6.3
-2.196289312626946,0.7155857885083868,-1.3167233788799664,6.61
-2.276117700164226,1.2267347216609228,-1.2711824852498095,6.79
-2.187298714101525,0.7031190116758015,-1.3182395853575615,7.41
-2.1067929909146206,0.18763303245014856,-1.3641668887815661,8.67
-2.1868918816027967,0.6913845133197849,-1.263473373491613,8.9
-2.175183708877822,0.6890663194176885,-1.2643978754796117,8.61
-2.17432533042887,0.6835700386839973,-1.2648875674656845,9.19
-2.097184980185101,0.17137384932383629,-1.1988983689094368,9.15
-2.1791393371238152,0.6673156756599274,-1.1544146557889097,9.0
-2.176478051281863,0.6685342240149473,-1.2659294866748239,8.85
-2.1756515041752813,0.66324176246382,-1.2664010193591535,8.97
-2.1222381176199616,0.24375495346225431,-1.0635013879021227,8.98
-2.2012378438449556,0.7222093567601212,-0.8534383220285493,8.98
-2.202258788839858,0.7104875463470443,-0.7428592809078715,7.76
-2.2754615569603227,1.1842180848727522,-0.5892896344035372,8.1
-2.1253715230508132,0.20491797258611769,-0.5649171324469,7.95
-2.200969010672397,0.6798465316085158,-0.4667915998579176,7.61
-2.18831570513665,0.6754993030226769,-0.4122111975621325,7.21
-2.040242437626334,-0.2817577474876385,-0.44168646441159376,6.62
-2.19120332779126,0.6574709907438178,-0.19057063756423379,6.29
-2.2038706290051753,0.6451832966689127,-0.13503335855051554,6.2
-2.2067737254189166,0.627254064375459,0.08661602899407958,5.6
-2.207858555847694,0.6159413186118943,0.19723151579327253,4.9
-1.9378349251289932,-0.6702047870033965,-0.10165300802330858,4.14
-2.0104563299860287,-0.20520286523243764,-0.06022358954329313,3.72
-2.01118723504069,-0.209652319325831,-0.004808315526693767,3.71
-2.000937657965228,-0.20481902110498312,-0.06082326348316437,4.16
-2.072835565285097,0.25555027553511667,-0.019806589459078153,4.63
-2.143840544746126,0.7102020682081607,0.020700682660581105,4.91
-1.9881442015769204,-0.21113129420147478,-0.006414328947674757,5.31
-1.9888822000760835,-0.21553532827949148,0.049004991772252704,5.57
-1.9169537603623927,-0.6669706165286414,-0.0470274042064065,5.55
-1.981098195781995,-0.20545329080757888,-0.11781867047648273,5.2
-1.9120825544947897,-0.665626178138959,-0.047194447741723905,4.91
-2.0534190783730297,0.23936533709254118,0.03343591194065339,4.14
-1.8266516899805456,-0.8946076963612793,-0.22742027751496677,3.51
-1.9663875312980048,0.0092640029576833,-0.20270138682581426,3.3
-1.896635513547374,-0.44649446424301814,-0.18749555946400753,3.83
-1.8631462482085708,-0.4341890768793659,-0.24437885837260545,4.17
-1.8629780198217882,-0.43526625960950294,-0.24447483013533783,4.27
-1.8628106002253266,-0.43633826357651545,-0.24457034049536483,4.46
-1.9162154817266908,0.014215844399615069,-0.26125188293457857,4.55
-1.8465721184886745,-0.4317173871045559,-0.3009823734920602,4.81
-1.8454949628325046,-0.4294850093047537,-0.35659517826556375,4.87
-1.889678752215338,0.013597839202510488,-0.2630873388426381,5.05
-1.817961441730247,-0.41822654749272437,-0.46899589614084225,5.06
-1.816887373991985,-0.4159743974540855,-0.5246069393036541,5.33
-1.9379971541862988,0.2989376210417313,-0.49907137459931533,5.94
-2.0744467589868196,1.1635082076143033,-0.36623062501660864,6.58
-2.1394841615532,1.5890785350316605,-0.3841260693835542,7.09
-2.0524835699099238,1.1481595309188595,-0.36894767678553453,7.12
-2.0501927622172995,1.1426207766340697,-0.4252528517797242,7.84
-2.048833700378473,1.133918571435699,-0.4260281761041683,8.49
-1.9202204627145305,0.2895738817883132,-0.5568691166677768,10.4
-2.376784439705424,3.212997452705224,-0.2964062393261334,10.5
-1.9189155200923138,0.28121820719999935,-0.5576135667936681,10.78
-2.0915653894886694,1.5204643050157727,-0.5601457007061764,10.01
-2.027763046765614,1.0936726756739312,-0.48654736960349737,10.03
-2.027433127573686,1.0824306607054592,-0.4317372798536052,9.95
-2.3700192723916387,2.63128884739477,0.039754032987247216,9.65
-2.492832738591364,3.408545911633427,0.16481557072936817,8.97
-2.487189158817919,3.381539031471553,0.10659768972408012,9.35
-2.2330405333125354,1.8055053077512138,-0.034525396659965464,10.51
-2.4733976327980396,3.344535203855257,0.10259471109381546,11.31
-2.3527322846711343,2.544514707542586,0.19875185711562146,11.93
-2.3610893900032512,2.5255853484208757,0.253269744839034,12.92
-2.476196386798709,3.262626649460732,0.31893655408907323,12.01
-2.4756354116419774,3.2225166298278802,0.5386097409388404,11.34
-2.4165276161336586,2.826528478635504,0.5589429141117381,10.06
-2.362648250823858,2.4267565981140184,0.8581953692162765,9.45
