realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1955-02-01,0.0
2025-01-25,2025-01-25,1955-03-01,0.0
2025-01-25,2025-01-25,1955-04-01,0.0
2025-01-25,2025-01-25,1955-05-01,0.0
2025-01-25,2025-01-25,1955-06-01,0.0
2025-01-25,2025-01-25,1955-07-01,0.3745318352059939
2025-01-25,2025-01-25,1955-08-01,0.0
2025-01-25,2025-01-25,1955-09-01,0.37313432835821003
2025-01-25,2025-01-25,1955-10-01,0.0
2025-01-25,2025-01-25,1955-11-01,0.0
2025-01-25,2025-01-25,1955-12-01,-0.3717472118959121
2025-01-25,2025-01-25,1956-01-01,0.0
2025-01-25,2025-01-25,1956-02-01,0.0
2025-01-25,2025-01-25,1956-03-01,0.0
2025-01-25,2025-01-25,1956-04-01,0.37313432835821003
2025-01-25,2025-01-25,1956-05-01,0.3717472118959121
2025-01-25,2025-01-25,1956-06-01,0.740740740740744
2025-01-25,2025-01-25,1956-07-01,0.73529411764705
2025-01-25,2025-01-25,1956-08-01,-0.36496350364963703
2025-01-25,2025-01-25,1956-09-01,0.366300366300368
2025-01-25,2025-01-25,1956-10-01,0.36496350364963703
2025-01-25,2025-01-25,1956-11-01,0.0
2025-01-25,2025-01-25,1956-12-01,0.36363636363636503
2025-01-25,2025-01-25,1957-01-01,0.0
2025-01-25,2025-01-25,1957-02-01,0.36231884057971203
2025-01-25,2025-01-25,1957-03-01,0.36101083032491105
2025-01-25,2025-01-25,1957-04-01,0.359712230215829
2025-01-25,2025-01-25,1957-05-01,0.358422939068102
2025-01-25,2025-01-25,1957-06-01,0.35714285714285904
2025-01-25,2025-01-25,1957-07-01,0.711743772241972
2025-01-25,2025-01-25,1957-08-01,0.0
2025-01-25,2025-01-25,1957-09-01,0.0
2025-01-25,2025-01-25,1957-10-01,0.0
2025-01-25,2025-01-25,1957-11-01,0.353356890459365
2025-01-25,2025-01-25,1957-12-01,0.0
2025-01-25,2025-01-25,1958-01-01,0.704225352112668
2025-01-25,2025-01-25,1958-02-01,0.0
2025-01-25,2025-01-25,1958-03-01,0.699300699300702
2025-01-25,2025-01-25,1958-04-01,0.34722222222222404
2025-01-25,2025-01-25,1958-05-01,0.0
2025-01-25,2025-01-25,1958-06-01,0.0
2025-01-25,2025-01-25,1958-07-01,0.34602076124567605
2025-01-25,2025-01-25,1958-08-01,-0.344827586206898
2025-01-25,2025-01-25,1958-09-01,0.0
2025-01-25,2025-01-25,1958-10-01,0.0
2025-01-25,2025-01-25,1958-11-01,0.34602076124567605
2025-01-25,2025-01-25,1958-12-01,-0.344827586206898
2025-01-25,2025-01-25,1959-01-01,0.34602076124567605
2025-01-25,2025-01-25,1959-02-01,-0.344827586206898
2025-01-25,2025-01-25,1959-03-01,0.0
2025-01-25,2025-01-25,1959-04-01,0.34602076124567605
2025-01-25,2025-01-25,1959-05-01,0.0
2025-01-25,2025-01-25,1959-06-01,0.344827586206898
2025-01-25,2025-01-25,1959-07-01,0.34364261168384996
2025-01-25,2025-01-25,1959-08-01,0.0
2025-01-25,2025-01-25,1959-09-01,0.342465753424659
2025-01-25,2025-01-25,1959-10-01,0.341296928327646
2025-01-25,2025-01-25,1959-11-01,0.0
2025-01-25,2025-01-25,1959-12-01,0.0
2025-01-25,2025-01-25,1960-01-01,-0.34013605442177003
2025-01-25,2025-01-25,1960-02-01,0.341296928327646
2025-01-25,2025-01-25,1960-03-01,0
2025-01-25,2025-01-25,1960-04-01,0.34013605442177003
2025-01-25,2025-01-25,1960-05-01,0
2025-01-25,2025-01-25,1960-06-01,0.33898305084744795
2025-01-25,2025-01-25,1960-07-01,0
2025-01-25,2025-01-25,1960-08-01,0
2025-01-25,2025-01-25,1960-09-01,0
2025-01-25,2025-01-25,1960-10-01,0.675675675675678
2025-01-25,2025-01-25,1960-11-01,0
2025-01-25,2025-01-25,1960-12-01,0
2025-01-25,2025-01-25,1961-01-01,0
2025-01-25,2025-01-25,1961-02-01,0
2025-01-25,2025-01-25,1961-03-01,0
2025-01-25,2025-01-25,1961-04-01,0
2025-01-25,2025-01-25,1961-05-01,0
2025-01-25,2025-01-25,1961-06-01,0
2025-01-25,2025-01-25,1961-07-01,0.671140939597318
2025-01-25,2025-01-25,1961-08-01,-0.33333333333333504
2025-01-25,2025-01-25,1961-09-01,0.334448160535118
2025-01-25,2025-01-25,1961-10-01,0
2025-01-25,2025-01-25,1961-11-01,0
2025-01-25,2025-01-25,1961-12-01,0
