realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1960-01-01,1.45797598627791
2025-01-25,2025-01-25,1961-01-01,1.07072414764724
2025-01-25,2025-01-25,1962-01-01,1.19877334820186
2025-01-25,2025-01-25,1963-01-01,1.23966942148753
2025-01-25,2025-01-25,1964-01-01,1.27891156462591
2025-01-25,2025-01-25,1965-01-01,1.58516926383662
2025-01-25,2025-01-25,1966-01-01,3.0150753768844
2025-01-25,2025-01-25,1967-01-01,2.77278562259309
2025-01-25,2025-01-25,1968-01-01,4.27179615288537
2025-01-25,2025-01-25,1969-01-01,5.46238620028745
2025-01-25,2025-01-25,1970-01-01,5.83825533848251
2025-01-25,2025-01-25,1971-01-01,4.29276668813051
2025-01-25,2025-01-25,1972-01-01,3.27227824655283
2025-01-25,2025-01-25,1973-01-01,6.17776006377038
2025-01-25,2025-01-25,1974-01-01,11.0548048048048
2025-01-25,2025-01-25,1975-01-01,9.14314686496535
2025-01-25,2025-01-25,1976-01-01,5.74481263549085
2025-01-25,2025-01-25,1977-01-01,6.5016839947284
2025-01-25,2025-01-25,1978-01-01,7.63096383885606
2025-01-25,2025-01-25,1979-01-01,11.2544711292795
2025-01-25,2025-01-25,1980-01-01,13.5492019749684
2025-01-25,2025-01-25,1981-01-01,10.3347153402771
2025-01-25,2025-01-25,1982-01-01,6.13142700027493
2025-01-25,2025-01-25,1983-01-01,3.21243523316065
2025-01-25,2025-01-25,1984-01-01,4.30053547523429
2025-01-25,2025-01-25,1985-01-01,3.54564415209365
2025-01-25,2025-01-25,1986-01-01,1.89804772234276
2025-01-25,2025-01-25,1987-01-01,3.6645632175169
2025-01-25,2025-01-25,1988-01-01,4.07774110744413
2025-01-25,2025-01-25,1989-01-01,4.82700303008944
2025-01-25,2025-01-25,1990-01-01,5.39795643990325
2025-01-25,2025-01-25,1991-01-01,4.23496396453849
2025-01-25,2025-01-25,1992-01-01,3.02881967814969
2025-01-25,2025-01-25,1993-01-01,2.95165696638559
2025-01-25,2025-01-25,1994-01-01,2.60744159215453
2025-01-25,2025-01-25,1995-01-01,2.80541968853662
2025-01-25,2025-01-25,1996-01-01,2.93120419993441
2025-01-25,2025-01-25,1997-01-01,2.33768993730735
2025-01-25,2025-01-25,1998-01-01,1.55227909874364
2025-01-25,2025-01-25,1999-01-01,2.18802719697358
2025-01-25,2025-01-25,2000-01-01,3.37685727149929
2025-01-25,2025-01-25,2001-01-01,2.82617111885407
2025-01-25,2025-01-25,2002-01-01,1.58603162650601
2025-01-25,2025-01-25,2003-01-01,2.27009497336115
2025-01-25,2025-01-25,2004-01-01,2.67723669309172
2025-01-25,2025-01-25,2005-01-01,3.3927468454955
2025-01-25,2025-01-25,2006-01-01,3.22594410070404
2025-01-25,2025-01-25,2007-01-01,2.85267248150138
2025-01-25,2025-01-25,2008-01-01,3.839100296651
2025-01-25,2025-01-25,2009-01-01,-0.355546266299747
2025-01-25,2025-01-25,2010-01-01,1.6400434423899
2025-01-25,2025-01-25,2011-01-01,3.156841568622
2025-01-25,2025-01-25,2012-01-01,2.06933726526067
2025-01-25,2025-01-25,2013-01-01,1.46483265562717
2025-01-25,2025-01-25,2014-01-01,1.62222297740817
2025-01-25,2025-01-25,2015-01-01,0.118627135552451
2025-01-25,2025-01-25,2016-01-01,1.26158320570536
2025-01-25,2025-01-25,2017-01-01,2.13011000365961
2025-01-25,2025-01-25,2018-01-01,2.44258329692817
2025-01-25,2025-01-25,2019-01-01,1.81221007526021
2025-01-25,2025-01-25,2020-01-01,1.23358439630629
2025-01-25,2025-01-25,2021-01-01,4.69785886363742
2025-01-25,2025-01-25,2022-01-01,8.00279982052121
2025-01-25,2025-01-25,2023-01-01,4.11633838374488
