PC1,PC2,PC3,FEDRates,Cluster
-2.486793552395918,-1.5587652201516715,-0.3230379755264064,0.8,3
-2.488619379572193,-1.5653332916378524,-0.211999761235162,1.22,3
-2.4895322931603308,-1.5686173273809427,-0.15648065408954,1.07,3
-2.471566262387604,-1.5510000211610138,-0.3790375552424325,0.85,3
-2.467914608035053,-1.5378638781886524,-0.6011139838249213,0.83,3
-2.46517586727064,-1.5280117709593817,-0.7676713052617877,1.28,3
-2.4420726028632465,-1.5177264450191088,-0.8239399691138638,1.39,3
-2.4402467756869712,-1.511158373532928,-0.9349781834051082,1.29,3
-2.4393338620988336,-1.5078743377898378,-0.9904972905507308,1.35,3
-2.427465570965004,-1.5071688490943946,-0.9354038661909516,1.43,3
-2.423813916612453,-1.494032706122033,-1.1574802947734406,1.43,3
-2.422901003024316,-1.4907486703789432,-1.2129994019190626,1.64,3
-2.5189850517184,-0.787825554250442,-1.262647180252526,1.68,3
-2.41255874731003,-1.4875425578146817,-1.2133651777779335,1.96,3
-2.519494039442415,-0.7936959666057646,-1.2073585067330854,2.18,3
-2.409446185701369,-1.4896447707831353,-1.1580141835955526,2.24,3
-2.4085332721132318,-1.4863607350400452,-1.2135332907411749,2.35,3
-2.3010859890905544,-2.174356143459531,-1.274830348566625,2.48,3
-2.410621151414841,-1.4811423889095927,-1.3244616955498931,2.45,3
-2.409708237826704,-1.4778583531665024,-1.3799808026955154,2.5,3
-2.4124469785911167,-1.4877104603957734,-1.2134234812586489,2.5,3
-2.512196641389087,-0.7886722784879704,-1.263156103115995,2.62,3
-2.5145344594556542,-0.8010915327635822,-1.096827502044149,2.75,3
-2.621185836678164,-0.118192386628684,-1.0359844964988871,2.71,3
-2.62211590094368,-0.1321699556661091,-0.9813506408473128,2.75,3
-2.301366188609631,-2.158573043654323,-1.3293284353297157,2.73,3
-2.510899891470063,-0.7986493348714314,-1.3197892188088125,2.95,3
-2.4977019465577057,-0.7971411401084676,-1.3204509380501512,2.96,3
-2.3958670347310584,-1.485718030762734,-1.1585530078437436,2.88,3
-2.5000570998087395,-0.8094493955111285,-1.1541124475164706,2.94,3
-2.3898995315357032,-1.4809367652190966,-1.2142822576163397,2.84,3
-2.4918829615433924,-0.8005384084795284,-1.3210971567523142,3.0,3
-2.4896790759888785,-0.7963910815764186,-1.432351047658363,2.96,3
-2.493233525103252,-0.8061529794291444,-1.3214452570383808,3.0,3
-2.494686704344545,-0.8151071519037582,-1.2106196327854937,3.0,3
-2.4961425453568022,-0.8240442807998827,-1.099792490032332,3.0,3
-2.589690219572972,-0.162060479347641,-1.0971062614812397,2.99,3
-2.3830597320837725,-1.4760060867706406,-1.2699841483780765,3.24,3
-2.3857984728481854,-1.4858581939999114,-1.1034268269412095,3.47,3
-2.3960914676382594,-1.4922646657348757,-1.0475378641256077,3.5,3
-2.503700818895354,-0.8580085803176521,-0.6561585267110756,3.28,3
-2.4024818627552227,-1.515252915936508,-0.6589041141062523,2.98,3
-2.633286236038025,-0.2387194128970596,-0.2089066437703778,2.72,3
-2.435219216629529,-1.5617388728826362,0.0080889247720461,1.67,3
-2.640079070212824,-0.2773898272109159,0.2899532990414031,1.2,3
-2.539137682732863,-0.9503201591150672,0.6203831950912874,1.26,3
-2.438778935742932,-1.5929269815624352,0.5631300403862659,0.63,3
-2.4378660221547945,-1.5896429458193448,0.5076109332406434,0.93,3
-2.5205551221855607,-0.9498486609559508,0.6750558355754765,0.68,3
-2.319964106007458,-2.2251229458994537,0.5056233761643527,1.53,3
-2.4168919829433904,-1.577095787412108,0.3959243600897139,1.76,3
-2.393557761720233,-1.557818204000449,0.1731878378751001,1.8,3
-2.4890046786691653,-0.9010147558564792,-0.0473526509497368,2.27,3
-2.2893265760792003,-2.1795730765430723,-0.1612660032152388,2.42,3
-2.4706285510546104,-0.8893070953623059,-0.1589246508691948,2.48,3
-2.270037534876508,-2.1645813803058087,-0.3283571102803188,2.43,3
-2.36696541181244,-1.5165542218184629,-0.4380561263549575,2.8,3
-2.443168920512338,-0.856749742430037,-0.6037228411159884,2.96,3
-2.3422445220345804,-1.4938489761154643,-0.7162969951648847,2.9,3
-2.440998226146788,-0.852389889114299,-0.7149577969482785,3.39,3
-2.440605671571793,-0.8577161706076291,-0.6596113165020929,3.47,3
-2.342194464427628,-1.4969822161955362,-0.6607551253531926,3.5,3
-2.443917174825945,-0.87303033416165,-0.4377289390017846,3.76,3
-2.4425499941147577,-0.8810100960107428,-0.3269280918720219,3.98,3
-2.344816767316888,-1.515934967470016,-0.3276851231395267,4.0,3
-2.3402521993762,-1.4995147887545643,-0.6052806588676374,3.99,3
-2.221475390780663,-2.1196603373527103,-0.7175416486667857,3.99,3
-2.4147804861103785,-0.8453909611647038,-0.8272572158598003,3.97,3
-2.321611827253197,-1.4967360113394286,-0.5504187113991938,3.84,3
-2.4237565346005696,-0.8626484303974077,-0.6051294965375069,3.92,3
-2.324533011716173,-1.4888567921537788,-0.7167333266594768,3.85,3
-2.4252491054741423,-0.8713503744175052,-0.4942813999512688,3.32,3
-2.3239091625299384,-1.5007897749349517,-0.4947627913157178,3.23,3
-2.324822076118076,-1.5040738106780418,-0.4392436841700958,2.98,3
-2.3239091625299384,-1.5007897749349517,-0.4947627913157178,2.6,3
-2.535934082215044,-0.273750763933136,-0.0497745110463354,2.47,3
-2.340641385369773,-1.524228904911796,-0.1611860553371877,2.44,3
-2.345205953310461,-1.5406490836272475,0.116409480390923,1.98,3
-2.3169971975737003,-1.631208355284092,0.090416143128218,1.45,3
-2.319735938338113,-1.641060462513363,0.2569734645650849,2.54,3
-2.319735938338113,-1.641060462513363,0.2569734645650849,2.02,3
-2.3052257650649,-1.6395675128424658,0.311992268958064,1.49,3
-2.3061386786530376,-1.6428515485855562,0.3675113761036859,1.98,3
